"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         198,      -6.995699111,      -4.754539315,      -4.376880213,      -1.510966981,      -9.425060731
          0,           0,         199,      -7.019507405,        -4.7653317,      -4.393433407,      -1.534248401,      -9.440977368
          0,           0,         200,      -7.045565799,      -4.792889101,      -4.405957535,      -1.560395278,       -9.45995672
          0,           0,         201,      -7.057534327,      -4.822580889,      -4.409755278,      -1.572834868,      -9.476688986
          0,           0,         202,      -7.063043653,      -4.824366499,      -4.413855713,      -1.578494373,      -9.489824255
          0,           0,         203,      -7.077894388,      -4.851257484,      -4.427171091,      -1.593934666,      -9.504900576
          0,           0,         204,      -7.091484683,      -4.869725114,      -4.447330504,      -1.607813212,      -9.528523531
          0,           0,         205,      -7.105604042,      -4.880080184,      -4.472194838,        -1.6218685,       -9.55347739
          0,           0,         206,      -7.122706372,      -4.891683277,      -4.498996152,      -1.638740398,      -9.577807071
          0,           0,         207,      -7.142196788,      -4.904805156,        -4.5237873,      -1.657847771,      -9.601909295
          0,           0,         208,      -7.163964414,      -4.915034843,      -4.544447633,      -1.678985727,      -9.623154786
          0,           0,         209,      -7.187545571,      -4.922473889,      -4.560016829,      -1.701973208,      -9.643155141
          0,           0,         210,      -7.215328329,        -4.9738064,      -4.570579028,      -1.730222937,      -9.663192998
          0,           0,         211,      -7.218175867,      -4.978789249,      -4.572492979,      -1.733104369,      -9.681738822
          0,           0,         212,      -7.228300447,      -4.997041874,       -4.58006167,      -1.743605581,       -9.70090293
          0,           0,         213,      -7.242233648,      -5.027992322,       -4.59578451,      -1.758137027,      -9.725790089
          0,           0,         214,      -7.254243995,      -5.038737205,      -4.617760018,      -1.770174089,      -9.753294587
          0,           0,         215,      -7.268724952,      -5.047768985,      -4.643313869,      -1.784454803,      -9.780213712
          0,           0,         216,      -7.286984807,      -5.058915956,       -4.66923583,      -1.802365824,      -9.805411681
          0,           0,         217,      -7.307691624,      -5.069828928,      -4.691838581,       -1.82256518,      -9.825436174
          0,           0,         218,      -7.331263801,      -5.079438686,      -4.709514977,      -1.845490819,      -9.839277835
          0,           0,         219,      -7.357317422,      -5.099448871,      -4.722524945,      -1.871331675,       -9.85494435
          0,           0,         220,      -7.374564813,      -5.139177474,      -4.727821846,      -1.889153352,      -9.870517879
          0,           0,         221,      -7.378051219,      -5.140087048,      -4.729949811,      -1.892806239,      -9.881702744
          0,           0,         222,      -7.392132257,      -5.165906493,      -4.741452327,       -1.90749199,      -9.893146021
          0,           0,         223,      -7.405918176,      -5.187982387,      -4.760702303,      -1.921698722,      -9.916623502
          0,           0,         224,      -7.419487303,      -5.197898259,      -4.785274452,      -1.935246528,      -9.942727065
          0,           0,         225,      -7.435945945,      -5.208399664,      -4.812487337,      -1.951490834,      -9.967510312
          0,           0,         226,      -7.455272606,      -5.221416695,      -4.838332486,      -1.970452462,      -9.991367154
          0,           0,         227,      -7.476408346,      -5.231383026,      -4.859949594,      -1.990964055,      -10.01161478
          0,           0,         228,      -7.499585808,      -5.235360425,      -4.876276238,      -2.013368432,      -10.02839204
          0,           0,         229,      -7.528682107,      -5.278760581,      -4.888022227,      -2.042715702,      -10.04670367
          0,           0,         230,      -7.536271349,      -5.301695115,      -4.889937084,      -2.050632099,      -10.06383514
          0,           0,         231,      -7.542467537,      -5.306034308,      -4.895467351,      -2.057047615,      -10.07812191
          0,           0,         232,      -7.557961963,      -5.344361334,      -4.910037292,      -2.073321935,      -10.10062032
          0,           0,         233,      -7.569881848,      -5.355730549,      -4.931457601,       -2.08536238,      -10.12934448
          0,           0,         234,      -7.583887162,      -5.365282338,       -4.95702335,      -2.099241916,      -10.15722899
          0,           0,         235,      -7.601725624,      -5.375465904,      -4.983824734,       -2.11674238,      -10.18316615
          0,           0,         236,      -7.621920373,      -5.386306906,      -5.007525892,       -2.13644597,       -10.2041983
          0,           0,         237,      -7.645172253,      -5.395655285,      -5.026423924,      -2.158996787,      -10.21739415
          0,           0,         238,      -7.670447446,      -5.408324558,      -5.039982641,      -2.183791276,      -10.23016703
          0,           0,         239,      -7.692839363,      -5.454099733,      -5.047249644,      -2.206752385,      -10.24472949
          0,           0,         240,      -7.695697977,      -5.458827855,      -5.048027671,       -2.20986237,      -10.25564378
          0,           0,         241,        -7.7080171,      -5.479579765,      -5.057489669,      -2.222732811,      -10.26362253
          0,           0,         242,      -7.722354974,      -5.506546071,       -5.07562354,      -2.237637808,      -10.28641163
          0,           0,         243,      -7.735490514,      -5.516526071,      -5.099596443,      -2.250807955,      -10.31473072
          0,           0,         244,      -7.751276565,       -5.52650001,      -5.126829256,      -2.266416417,      -10.34135456
          0,           0,         245,      -7.770321971,      -5.539171937,      -5.153482039,      -2.285118284,      -10.36629504
          0,           0,         246,      -7.790862553,      -5.549343601,      -5.175972294,      -2.305074357,      -10.38674596
          0,           0,         247,      -7.813911355,      -5.552953799,      -5.193251212,      -2.327273393,      -10.40116735
          0,           0,         248,      -7.842333676,      -5.584693993,      -5.205801015,      -2.355661314,      -10.41801502
