"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.62451,442.29,-88.5,0,2.887e+05,50325,280.72,2.1503,-0.17741,0.77451,0.045098,0
0.62482,442.52,-88.549,0,2.8884e+05,50347,280.71,2.1504,-0.17733,0.78431,0.043137,0
0.62514,442.75,-88.604,0,2.89e+05,50372,280.7,2.1505,-0.17724,0.79412,0.041176,0
0.62558,443.1,-88.673,0,2.8921e+05,50398,280.65,2.1509,-0.17715,0.80392,0.039216,0
0.62598,443.35,-88.71,0,2.8938e+05,50437,280.69,2.1506,-0.17701,0.81373,0.037255,0
0.62633,443.63,-88.77,0,2.8955e+05,50460,280.66,2.1508,-0.17693,0.82353,0.035294,0
0.62667,443.86,-88.807,0,2.8971e+05,50490,280.67,2.1507,-0.17682,0.83333,0.033333,0
0.62702,444.18,-88.874,0,2.8989e+05,50504,280.59,2.1514,-0.17677,0.84314,0.031373,0
0.62728,444.36,-88.91,0,2.9001e+05,50526,280.6,2.1513,-0.17669,0.85294,0.029412,0
0.62756,444.6,-88.951,0,2.9014e+05,50542,280.56,2.1516,-0.17664,0.86275,0.027451,0
0.62769,444.66,-88.959,0,2.902e+05,50557,280.59,2.1514,-0.17658,0.87255,0.02549,0
0.62784,444.84,-89.002,0,2.9029e+05,50554,280.5,2.1521,-0.17659,0.88235,0.023529,0
0.62807,445.09,-89.062,0,2.9041e+05,50554,280.4,2.1529,-0.17659,0.89216,0.021569,0
0.62821,445.18,-89.076,0,2.9047e+05,50568,280.41,2.1528,-0.17654,0.90196,0.019608,0
0.62832,445.37,-89.125,0,2.9055e+05,50553,280.28,2.1539,-0.1766,0.91176,0.017647,0
0.62857,445.62,-89.177,0,2.9068e+05,50559,280.2,2.1545,-0.17657,0.92157,0.015686,0
0.62877,445.79,-89.211,0,2.9078e+05,50571,280.18,2.1547,-0.17653,0.93137,0.013725,0
0.62896,446.01,-89.266,0,2.9089e+05,50566,280.07,2.1556,-0.17655,0.94118,0.011765,0
0.62926,446.26,-89.319,0,2.9103e+05,50581,280.02,2.156,-0.1765,0.95098,0.0098039,0
0.62964,446.42,-89.233,0,2.9118e+05,50642,280.19,2.1547,-0.17628,0.96078,0.0078431,0
0.62912,446.63,-89.882,0,2.9108e+05,50447,279.34,2.1613,-0.17697,0.97059,0.0058824,0
0.63572,447.1,-85.354,0,2.9317e+05,52086,285.42,2.1141,-0.17112,0.98039,0.0039216,0
0.58911,436.61,-108.17,0,2.7721e+05,42196,249.52,2.4112,-0.20644,0.9902,0.0019608,0
0.78258,443.41,10.217,0,3.4163e+05,86377,384.5,1.4418,-0.048654,1,0,0
1.8551,712.87,-15.397,0,7.8676e+05,2.5989e+05,488.03,0.86789,0.57104,0,0,0
