"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "AoA"      
        213,           0,          21,   0.0005461696582,     -0.1978183512,                 0,                 0,                 0,    -0.08543219172,   0.0005461696582,     -0.1978183512,                 0,      -362.1921288,                 0
        214,           0,          21,    0.001671386243,     -0.2089590378,                 0,                 0,                 0,    -0.08111307732,    0.001671386243,     -0.2089590378,                 0,      -125.0213939,                 0
        215,           0,          20,    0.002290608341,     -0.2068773511,                 0,                 0,                 0,    -0.07163745642,    0.002290608341,     -0.2068773511,                 0,      -90.31546222,                 0
        216,           0,          20,    0.002253011561,     -0.1917392792,                 0,                 0,                 0,    -0.05764665751,    0.002253011561,     -0.1917392792,                 0,      -85.10354872,                 0
        217,           0,          21,    0.001557997875,     -0.1646212063,                 0,                 0,                 0,     -0.0400721446,    0.001557997875,     -0.1646212063,                 0,      -105.6620223,                 0
        218,           0,          21,    0.000384397202,     -0.1272355329,                 0,                 0,                 0,    -0.02000436978,    0.000384397202,     -0.1272355329,                 0,      -331.0001535,                 0
        219,           0,          22,   -0.000971644077,    -0.08195408379,                 0,                 0,                 0,    0.001260259632,   -0.000971644077,    -0.08195408379,                 0,       84.34578642,                 0
        220,           0,          22,   -0.002177094257,     -0.0315299972,                 0,                 0,                 0,     0.02244666924,   -0.002177094257,     -0.0315299972,                 0,       14.48260548,                 0
        221,           0,          22,   -0.002941922978,     0.02091082906,                 0,                 0,                 0,     0.04224325756,   -0.002941922978,     0.02091082906,                 0,      -7.107877812,                 0
        222,           0,          22,   -0.003077996037,     0.07209331809,                 0,                 0,                 0,     0.05941697063,   -0.003077996037,     0.07209331809,                 0,      -23.42216079,                 0
        223,           0,          22,   -0.002542928289,      0.1188083826,                 0,                 0,                 0,     0.07289072972,   -0.002542928289,      0.1188083826,                 0,      -46.72109046,                 0
