"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         109,      -3.403389976,     -0.6547624537,      -1.326665455,       2.012556102,      -5.479953993
          0,           0,         110,      -3.408445006,      -0.661350295,       -1.33266651,       2.007410736,      -5.481990912
          0,           0,         111,      -3.413361336,     -0.6676995499,      -1.338505826,       2.002415693,      -5.483976523
          0,           0,         112,      -3.418217709,     -0.6738911914,      -1.344214861,        1.99745169,       -5.48591113
          0,           0,         113,      -3.422970866,      -0.679926649,      -1.349838084,        1.99256768,      -5.487795184
          0,           0,         114,      -3.427586852,     -0.6857925876,      -1.355450484,       1.987798917,      -5.489626311
          0,           0,         115,      -3.432069618,     -0.6915192809,      -1.361078497,        1.98312857,      -5.491400268
          0,           0,         116,       -3.43644075,      -0.697120168,      -1.366735161,       1.978519143,      -5.493117061
          0,           0,         117,      -3.440712168,     -0.7025978982,       -1.37245175,       1.973958741,      -5.494776173
          0,           0,         118,      -3.444851404,     -0.7079469872,       -1.37827407,       1.969494488,       -5.49637702
          0,           0,         119,      -3.448917903,     -0.7131566366,      -1.384154528,       1.965065544,      -5.497917237
          0,           0,         120,      -3.452894682,     -0.7182464064,      -1.390115856,       1.960693129,      -5.499397341
          0,           0,         121,      -3.456816778,     -0.7232469108,      -1.396140966,       1.956341813,      -5.500818449
          0,           0,         122,      -3.460723736,     -0.7281827545,      -1.402223932,       1.951978924,      -5.502180617
          0,           0,         123,      -3.464631244,     -0.7330451635,       -1.40835049,       1.947601835,      -5.503481259
          0,           0,         124,      -3.468561704,     -0.7378104536,      -1.414449518,       1.943210405,      -5.504721008
          0,           0,         125,      -3.472527468,     -0.7425144928,      -1.420441501,        1.93881989,      -5.505898251
          0,           0,         126,      -3.476475775,     -0.7471147407,      -1.426300031,       1.934511004,      -5.507017426
          0,           0,         127,       -3.48041015,     -0.7516272603,      -1.432065616,       1.930269509,      -5.508078636
          0,           0,         128,      -3.484356999,     -0.7560665571,      -1.437747256,       1.926052113,      -5.509080921
          0,           0,         129,      -3.488220249,     -0.7604370856,      -1.443407626,       1.921971823,      -5.510026102
          0,           0,         130,      -3.492014315,     -0.7647322543,      -1.449144399,       1.918103375,      -5.510912165
          0,           0,         131,      -3.495877264,     -0.7689644553,      -1.454834389,       1.914235868,      -5.511741461
          0,           0,         132,      -3.499783733,     -0.7731313297,      -1.460334774,       1.910293215,      -5.512518303
          0,           0,         133,      -3.503678766,     -0.7772295488,      -1.465561441,       1.906300913,      -5.513241334
          0,           0,         134,      -3.507555214,      -0.781240009,      -1.470470441,       1.902278474,         -5.513911
          0,           0,         135,      -3.511460563,     -0.7851907751,      -1.475112248,       1.898208167,      -5.514532843
          0,           0,         136,      -3.515466319,      -0.789093607,      -1.479563667,       1.894051098,      -5.515107866
          0,           0,         137,      -3.519636194,     -0.7929455041,      -1.483887463,       1.889769077,       -5.51563381
          0,           0,         138,      -3.524010204,     -0.7967691914,      -1.488098133,       1.885334579,      -5.516116904
          0,           0,         139,      -3.528585344,     -0.8005701674,      -1.492205737,       1.880756364,      -5.516564364
          0,           0,         140,      -3.533316796,     -0.8043446834,      -1.496216858,       1.876078747,      -5.516974274
          0,           0,         141,      -3.538162856,     -0.8080890984,      -1.500120128,       1.871331591,      -5.517345136
          0,           0,         142,      -3.543043714,     -0.8117948185,      -1.503884403,        1.86658822,      -5.517677685
          0,           0,         143,      -3.547886904,     -0.8154799324,      -1.507464724,       1.861915883,      -5.517972859
          0,           0,         144,      -3.552642949,      -0.819138358,      -1.510888298,       1.857366074,       -5.51823301
          0,           0,         145,       -3.55722199,     -0.8227576114,      -1.514181277,       1.853031041,      -5.518459418
          0,           0,         146,      -3.561568745,     -0.8263459974,      -1.517267295,       1.848951277,      -5.518651134
          0,           0,         147,      -3.565647432,     -0.8299053612,      -1.520072204,       1.845147474,      -5.518807211
          0,           0,         148,      -3.569404385,     -0.8334415188,      -1.522524992,       1.841656352,      -5.518929242
          0,           0,         149,      -3.572800761,     -0.8369421276,      -1.524598434,       1.838514047,      -5.519020486
          0,           0,         150,      -3.575793659,     -0.8403930292,      -1.526280229,       1.835761125,      -5.519078175
          0,           0,         151,      -3.578343153,     -0.8437904883,      -1.527579691,       1.833437596,       -5.51910039
          0,           0,         152,      -3.580416297,     -0.8471393836,      -1.528520658,       1.831576578,      -5.519087687
          0,           0,         153,      -3.581978512,     -0.8504393462,       -1.52915845,       1.830210452,      -5.519039962
          0,           0,         154,      -3.582976564,     -0.8536907595,      -1.529445557,       1.829386859,      -5.518958798
          0,           0,         155,      -3.583374972,     -0.8569059396,      -1.529437682,       1.829158621,      -5.518844886
          0,           0,         156,      -3.583144825,     -0.8600888918,      -1.529228605,       1.829612867,      -5.518700166
          0,           0,         157,      -3.582420647,     -0.8632354365,      -1.528727211,       1.830571691,      -5.518517862
          0,           0,         158,      -3.581151658,     -0.8663384934,      -1.527855991,       1.832024682,      -5.518297357
          0,           0,         159,      -3.579306144,       -0.86938668,      -1.526646405,       1.833975599,      -5.518039552
          0,           0,         160,      -3.576885867,     -0.8723901729,      -1.525176954,       1.836414553,      -5.517740102
          0,           0,         161,      -3.573981988,      -0.875353635,      -1.523537078,       1.839269658,      -5.517402621
          0,           0,         162,      -3.570674118,     -0.8782949501,      -1.521818278,       1.842481735,      -5.517027116
          0,           0,         163,      -3.567044675,     -0.8812031479,       -1.52007649,       1.845985274,      -5.516613124
          0,           0,         164,      -3.563182078,     -0.8840996599,       -1.51835708,       1.849698071,      -5.516156487
          0,           0,         165,      -3.559128568,     -0.8869817307,      -1.516687564,       1.853592557,      -5.515654952
          0,           0,         166,      -3.554932314,     -0.8898431873,      -1.515092088,       1.857622538,      -5.515108643
          0,           0,         167,      -3.550638933,     -0.8926892901,      -1.513612414,       1.861740339,      -5.514516393
          0,           0,         168,      -3.546296481,     -0.8955204574,      -1.512259821,       1.865894332,      -5.513878339
          0,           0,         169,      -3.541930688,     -0.8983369526,      -1.511011976,       1.870055793,      -5.513190468
          0,           0,         170,      -3.537597794,     -0.9011368666,      -1.509888378,       1.874168192,      -5.512449675
          0,           0,         171,      -3.533371367,     -0.9039031005,      -1.508889188,       1.878158378,      -5.511656971
          0,           0,         172,      -3.529302224,     -0.9066395938,      -1.508031682,       1.881976245,      -5.510811755
          0,           0,         173,      -3.525438937,     -0.9093467683,      -1.507327048,       1.885575846,      -5.509911858
          0,           0,         174,      -3.521820582,     -0.9120393654,      -1.506799254,       1.888922827,      -5.508955306
          0,           0,         175,      -3.518512756,     -0.9147204887,      -1.506399856,        1.89195539,      -5.507940304
          0,           0,         176,      -3.515517837,     -0.9173890264,      -1.506100962,       1.894689878,      -5.506864754
          0,           0,         177,      -3.512839998,     -0.9200318245,      -1.505925702,       1.897120254,      -5.505729385
          0,           0,         178,      -3.510492462,     -0.9226571772,      -1.505916051,       1.899227986,      -5.504531549
          0,           0,         179,      -3.508478274,     -0.9252658776,      -1.506106927,       1.901009809,      -5.503270287
          0,           0,         180,      -3.506804935,     -0.9278625671,      -1.506526428,       1.902458777,      -5.501944262
          0,           0,         181,      -3.505465034,     -0.9304478512,      -1.507191707,       1.903582445,       -5.50055095
          0,           0,         182,      -3.504478503,     -0.9330176599,      -1.508107244,       1.904364725,      -5.499089296
          0,           0,         183,      -3.503851618,     -0.9355694981,      -1.509270873,        1.90480181,       -5.49756027
          0,           0,         184,      -3.503551938,     -0.9381112429,      -1.510642799,       1.904921288,      -5.495962201
