"Coordinates:0","Coordinates:1","Coordinates:2","Density","Energy","Exact Density:0","Exact Density:1","Exact Mach:0","Exact Mach:1","Exact Pressure:0","Exact Pressure:1","Exact Temperature:0","Exact Temperature:1","Exact Velocity:0","Exact Velocity:1","Exact Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.74357452e+01,-8.05999985e+01,-8.05999985e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.77185841e+01,-8.04000015e+01,-8.04000015e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.80014324e+01,-8.01999969e+01,-8.01999969e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.82842712e+01,-8.00000000e+01,-8.00000000e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.85671101e+01,-7.98000031e+01,-7.98000031e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.88499584e+01,-7.95999985e+01,-7.95999985e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.91327972e+01,-7.94000015e+01,-7.94000015e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.94156456e+01,-7.91999969e+01,-7.91999969e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.96984844e+01,-7.90000000e+01,-7.90000000e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.99813232e+01,-7.88000031e+01,-7.88000031e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.02641716e+01,-7.85999985e+01,-7.85999985e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.05470104e+01,-7.84000015e+01,-7.84000015e+01,0.00000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.08298607e+01,-7.81999969e+01,-7.81999969e+01,0.00000000e+00
