"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity:0","Velocity:1","Velocity:2","Coordinates:0","Coordinates:1","Coordinates:2","Exact Velocity:0","Exact Velocity:1","Exact Velocity:2","Exact Pressure:0","Exact Pressure:1","Exact Density:0","Exact Density:1","Exact Mach:0","Exact Mach:1","Exact Temperature:0","Exact Temperature:1","Mach_error","Points:0","Points:1","Points:2"
8.46298218e-01,5.60456909e+02,4.65758476e+01,0.00000000e+00,3.81085531e+05,7.76895938e+04,3.19793579e+02,1.85365772e+00,-7.96800256e-02,6.62245172e+02,5.50347935e+01,0.00000000e+00,1.09674394e+00,-5.96079081e-02,0.00000000e+00,7.50207622e+02,1.50041524e+02,0.00000000e+00,5.07522754e+04,0.00000000e+00,7.10879760e-01,0.00000000e+00,2.41993911e+00,0.00000000e+00,2.48707978e+02,0.00000000e+00,-5.66281388e-01,1.09674394e+00,-5.96079081e-02,0.00000000e+00
1.45130730e+00,9.43174438e+02,-8.96689606e+01,0.00000000e+00,6.49482125e+05,1.36094938e+05,3.26672760e+02,1.80169475e+00,1.28910467e-01,6.49879209e+02,-6.17849581e+01,0.00000000e+00,1.37499183e-01,-1.78929150e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-1.98305249e-01,1.37499183e-01,-1.78929150e-01,0.00000000e+00
1.16116476e+00,8.06391113e+02,-3.57754389e-03,0.00000000e+00,5.29989688e+05,9.99934141e+04,2.99990784e+02,2.00008798e+00,-2.35119714e-05,6.94467435e+02,-3.08099592e-03,0.00000000e+00,-1.80766895e-01,-2.37658784e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,8.79764557e-05,-1.80766895e-01,-2.37658784e-01,0.00000000e+00
1.15888691e+00,8.05056702e+02,5.82127750e-01,0.00000000e+00,5.28931812e+05,9.97211562e+04,2.99761993e+02,2.00146675e+00,-9.95880109e-04,6.94680987e+02,5.02316270e-01,0.00000000e+00,-1.36117907e-02,-2.28910744e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,1.46675110e-03,-1.36117907e-02,-2.28910744e-01,0.00000000e+00
1.15987122e+00,8.05761292e+02,4.22827423e-01,0.00000000e+00,5.29469750e+05,9.98355781e+04,2.99851257e+02,2.00122023e+00,-5.87233575e-04,6.94698926e+02,3.64546870e-01,0.00000000e+00,-1.49737284e-01,-1.88130409e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,1.22022629e-03,-1.49737284e-01,-1.88130409e-01,0.00000000e+00
8.02849472e-01,5.92394653e+02,-8.75184174e+01,0.00000000e+00,3.74217375e+05,6.03573945e+04,2.61894684e+02,2.29907608e+00,-1.41580746e-01,7.37865159e+02,-1.09009746e+02,0.00000000e+00,1.27458751e+00,1.80610627e-01,0.00000000e+00,7.50207622e+02,-1.50041524e+02,0.00000000e+00,5.07522754e+04,0.00000000e+00,7.10879760e-01,0.00000000e+00,2.41993911e+00,0.00000000e+00,2.48707978e+02,0.00000000e+00,-1.20863030e-01,1.27458751e+00,1.80610627e-01,0.00000000e+00
1.68368387e+00,9.78635376e+02,1.82920227e+02,0.00000000e+00,7.35630062e+05,1.76511750e+05,3.65210632e+02,1.54346466e+00,2.73256242e-01,5.81246511e+02,1.08642858e+02,0.00000000e+00,5.10892570e-01,1.95524722e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,-4.79892856e-02,5.10892570e-01,1.95524722e-01,0.00000000e+00
1.70049286e+00,1.01036719e+03,1.85644882e+02,0.00000000e+00,7.46364375e+05,1.74428094e+05,3.57332062e+02,1.59415126e+00,2.65814632e-01,5.94161382e+02,1.09171221e+02,0.00000000e+00,5.39829135e-01,2.26863116e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,2.69731220e-03,5.39829135e-01,2.26863116e-01,0.00000000e+00
1.38544416e+00,9.11771729e+02,7.02333145e+01,0.00000000e+00,6.21953000e+05,1.28060289e+05,3.21999939e+02,1.83486867e+00,1.00215323e-01,6.58107885e+02,5.06937171e+01,0.00000000e+00,1.13714278e-01,1.70488060e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-1.65131330e-01,1.13714278e-01,1.70488060e-01,0.00000000e+00
1.80299103e+00,1.06792114e+03,2.17349426e+02,0.00000000e+00,7.92548375e+05,1.85272000e+05,3.57969940e+02,1.59362817e+00,3.04542869e-01,5.92305299e+02,1.20549366e+02,0.00000000e+00,2.98445374e-01,2.27099791e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,2.17422184e-03,2.98445374e-01,2.27099791e-01,0.00000000e+00
